LED_CHAMBER_2022
DATE: 2023-2-2
TIME: 13:11:44
(START)WAIT_TIME: 10 MIN
LED_RATE: 10
LED_VALUE: 0.0 10.0 20.0 30.0 40.0 50.0 60.0 70.0 80.0 90.0 100
CYCLE_COUNT: 120 CYCLE_MINUTE: 20.0 MINUTE
STIR_PUMP_RATE: 30 ML/MIN

NO LED_RATE NO_CYCLE DATE TIME OXYZEN_VALUE TEMP_VALUE
448 3 88 2023-2-2 14:36:38 254.45 23.98
449 3 89 2023-2-2 14:36:48 254.33 23.98
450 3 90 2023-2-2 14:36:58 254.55 23.98
451 3 91 2023-2-2 14:37:8 254.38 23.98
452 3 92 2023-2-2 14:37:18 254.6 23.98
453 3 93 2023-2-2 14:37:28 254.31 23.98
454 3 94 2023-2-2 14:37:38 254.25 24.01
455 3 95 2023-2-2 14:37:48 253.56 24.01
456 3 96 2023-2-2 14:37:59 254.33 24.01
457 3 97 2023-2-2 14:38:9 254.4 24.01
458 3 98 2023-2-2 14:38:18 254.47 24.01
459 3 99 2023-2-2 14:38:28 253.33 24.03
460 3 100 2023-2-2 14:38:38 254.1 24.03
461 3 101 2023-2-2 14:38:48 254.12 24.06
462 3 102 2023-2-2 14:38:58 253.33 24.06
463 3 103 2023-2-2 14:39:8 254.5 24.06
464 3 104 2023-2-2 14:39:19 253.47 24.06
465 3 105 2023-2-2 14:39:29 254.29 24.06
466 3 106 2023-2-2 14:39:39 254.04 24.09
467 3 107 2023-2-2 14:39:49 253.97 24.09
468 3 108 2023-2-2 14:39:59 252.97 24.12
469 3 109 2023-2-2 14:40:9 253.91 24.12
